"symbol"	"wt_DMSO_1"	"wt_DMSO_2"	"wt_DMSO_3"	"wt_CPT_1"	"wt_CPT_2"	"wt_CPT_3"	"miR34a_del_DMSO_1"	"miR34a_del_DMSO_2"	"miR34a_del_DMSO_3"	"miR34a_del_CPT_1"	"miR34a_del_CPT_2"	"miR34a_del_CPT_3"
"LL0000027034"	"si:dkey-1h24.6"	3	2	4	0	1	0	4	6	0	0	1	1
"LL0000027035"	"si:dkey-1h4.4"	22.66	21.46	21.68	8	7	16	12.81	8.73	18.47	19	8.67	9.92
"LL0000027036"	"si:dkey-1h6.8"	8	8.81	6	4	2	6	2.66	14	2	5	1	0
"LL0000027037"	"si:dkey-1j5.4"	2	6	8	1	3	12	6	1	6	4	4	0
"LL0000027038"	"si:dkey-1k23.3"	1	7	0	0	5	2	2	2	0	7.13	2	1
"LL0000027039"	"si:dkey-1m11.5"	6	5	3.95	1	3	4	0	5	6	4	1	0
"LL0000027040"	"si:dkey-1m11.6"	12	6	9	5	5	4.01	7	16.27	13	8	8	1
"LL0000027041"	"si:dkey-200l5.4"	1	0	0	0	0	0	1	1	3	0	0	0
"LL0000027042"	"si:dkey-201c13.2"	0	5.3	1.2	1.15	5.47	8.34	0	1.96	2.05	2.95	11.07	0
"LL0000027043"	"si:dkey-201g16.1"	8.58	18.06	27.62	7.25	19.89	27.7	0	15.14	13.77	33.06	32.08	37.73
"LL0000027044"	"si:dkey-201i2.4"	0	1	0.61	0	0	0	0	1	2	0	0	0
"LL0000027045"	"si:dkey-201i24.3"	1	0	1.01	0	1	2	0	0	2	0	2	0
"LL0000027046"	"si:dkey-201i6.8"	0	0	1	1.18	1.14	3	1	0	0	3	9	2
"LL0000027047"	"si:dkey-201k7.1"	0	0	0	0	0	1	0	0	0	0	0	0
"LL0000027048"	"si:dkey-201l21.2"	1	0	0	0	0	0	0	0	0	0	0	0
"LL0000027049"	"si:dkey-201l21.4"	7.45	3.93	0	4	3.62	1.09	2	6	1	7.68	1.3	3.12
"LL0000027050"	"si:dkey-202b22.5"	3	4.88	3	1	2	5	3	6	5	2	0	1
"LL0000027051"	"si:dkey-202b22.6"	9	8	4	3	3	4	6	10	5	1	7	1
"LL0000027052"	"si:dkey-202c14.3"	15	12	17	4	8	18.01	18	26	18	5	10	5
"LL0000027053"	"si:dkey-202e17.1"	2	10	4	2	2	1	7	8	3	1	2	5
"LL0000027054"	"si:dkey-202e22.2"	137.08	82.82	100.68	38.92	36.16	47.16	122.86	137.94	113.54	83.29	37.78	47.71
"LL0000027055"	"si:dkey-202g17.3"	178.01	105	128.93	119	85	112.86	117	149.96	127	79.14	80	58
"LL0000027056"	"si:dkey-202l22.6"	1	39	37.02	7	2	11	1	3	1	0	0	0.89
"LL0000027057"	"si:dkey-203a12.2"	0	0	1	0	0	0	0	0	0	1	0	0
"LL0000027058"	"si:dkey-203a12.4"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027059"	"si:dkey-203a12.5"	0	0	0	0	0	2	0	0	0	0	0	0
"LL0000027060"	"si:dkey-203a12.7"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027061"	"si:dkey-203a12.9"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027062"	"si:dkey-204a24.11"	0	2	0	0	0	0	0	0	0	0	2	0
"LL0000027063"	"si:dkey-204f11.13"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027064"	"si:dkey-204f11.3"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027065"	"si:dkey-204f11.51"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027066"	"si:dkey-204f11.64"	175.73	198.49	207.97	154.16	189.09	292	144	128.9	181.4	314.91	205.61	153.98
"LL0000027067"	"si:dkey-204l11.1"	51.98	28	29	1143.8	1653.47	2263.64	25	29	33.94	2248.72	1490.6	1396.63
"LL0000027068"	"si:dkey-205h13.1"	24	24	26.9	13	21	71.99	16.99	4	9.8	49.97	25.04	28
"LL0000027069"	"si:dkey-205h13.2"	17	12	19.99	9	13	32	14	20	24	15.09	8	7
"LL0000027070"	"si:dkey-205h23.2"	6	8	4	3	3	4	4	3.29	7.01	6.01	3	0
"LL0000027071"	"si:dkey-205i10.1"	1.56	4.57	4.21	1.92	2.68	5.94	5.54	1.85	5.94	6.59	7.54	1
"LL0000027072"	"si:dkey-205i10.2"	16.14	8.91	12.9	4.27	0	17.21	7.91	3.56	15.93	9.21	11.71	6.12
"LL0000027073"	"si:dkey-205o12.1"	0	0	0	1.75	8.17	10.41	0	0	2	7.37	12.26	1.69
"LL0000027074"	"si:dkey-206d17.12"	71	70.03	123.77	70.01	128	150	79.84	80	58	161.23	91.92	107.99
"LL0000027075"	"si:dkey-206d17.15"	2.83	0	1.31	3.42	0	0	0	4.68	0	0	0	0
"LL0000027076"	"si:dkey-206d17.16"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027077"	"si:dkey-206f10.1"	23	31	23.53	15	20	26	18	41	31	26	17.06	24
"LL0000027078"	"si:dkey-206p8.1"	23	37	39.07	16	18	13	18.99	33.06	27.19	15.05	13	14
"LL0000027079"	"si:dkey-207b20.2"	0	11.55	13.55	9.35	19.57	5.54	7.38	14	4.5	23	11.06	0
"LL0000027080"	"si:dkey-207l24.2"	11.71	15.48	14.54	8	13.93	5.04	6.38	14.38	12.19	16.52	8.43	5.59
"LL0000027081"	"si:dkey-207m2.4"	127.29	139.01	123.09	49.68	96	171.51	88.17	83.03	121.62	168.38	124.83	102.76
"LL0000027082"	"si:dkey-208b23.5"	76	49	61.01	4	12	24	49	65	66	18	7.04	13
"LL0000027083"	"si:dkey-208c12.2"	30.98	50	37	7	4.37	16	19.98	37	26.99	15	9	21
"LL0000027084"	"si:dkey-208k22.6"	8.05	11.04	13.45	6	7	9	12	12	10.72	16.06	14.14	8
"LL0000027085"	"si:dkey-208k4.2"	1	1	0	0	2	2	1	0	1	0	0	0
"LL0000027086"	"si:dkey-208k4.3"	29.86	26.81	57.72	12.91	15.95	62.84	33.72	51.33	41.06	40.67	53.85	36.39
"LL0000027087"	"si:dkey-208m12.2"	126.89	117.94	92.55	73.83	88.15	148.52	54.93	73.39	65.41	150.22	92.65	120.21
"LL0000027088"	"si:dkey-208m12.3"	0	0	0	0	0	0	0	0	0	0	0.55	0
"LL0000027089"	"si:dkey-20d21.12"	63	67.85	94.87	27.65	25.91	45	65.92	83.98	93.89	44	54.94	36
"LL0000027090"	"si:dkey-20i10.7"	138	169.66	139.7	78	185.19	264	116.94	143.15	127	169.02	150.12	131
"LL0000027091"	"si:dkey-20i20.10"	23.89	15.91	28.5	8.56	22.12	17.99	13.17	20.02	26.68	20.32	31.34	17.55
"LL0000027092"	"si:dkey-20i20.11"	19.78	24.23	26.65	10.21	19.91	22.24	19.59	15.82	30.07	26.32	19.79	16.56
"LL0000027093"	"si:dkey-20i20.15"	33.07	53.54	55.67	36.44	83.48	73.78	44.5	50.98	18.26	131.38	93.58	77.11
"LL0000027094"	"si:dkey-20i20.2"	101.77	113.93	127.3	83.5	134.38	191.09	54.09	113.01	94.39	153.6	110.24	103.65
"LL0000027095"	"si:dkey-20i20.3"	37.07	34.42	41.01	30.94	18.82	47.79	17.49	27.53	35.09	74.87	30.76	46.37
"LL0000027096"	"si:dkey-20i20.4"	11.42	17.23	25.3	23	18.9	35.22	9.63	13.77	31.96	48.6	34.75	22.01
"LL0000027097"	"si:dkey-20i20.7"	42.07	38.76	31.07	24.86	55.52	87.84	35.45	50.54	29.1	68.84	73.88	58.81
"LL0000027098"	"si:dkey-20i20.8"	17.53	17.47	31	18.75	21.85	32.57	14.83	29.54	32.12	40.38	32.33	28.15
"LL0000027099"	"si:dkey-20i20.9"	9.53	12.45	12.87	4.29	18.04	10.29	11.81	18.99	7.11	8.84	17.86	14.88
"LL0000027100"	"si:dkey-210j14.3"	44	31	33.2	17	49	76	40	44	16.01	77.01	31.75	53.55
"LL0000027101"	"si:dkey-210j14.4"	150.65	141	174.51	147.17	327.78	415.17	101.01	150.02	113	357.37	260.22	225.9
"LL0000027102"	"si:dkey-210j14.5"	68	49.99	60.95	52.01	103.15	119	34	90.7	47	157	87.97	76.18
"LL0000027103"	"si:dkey-211f22.5"	117	154.74	137.49	62.92	125.84	96.05	57.69	128.91	108	85.2	87.45	44.69
"LL0000027104"	"si:dkey-211g8.1"	0	0	0	0	1.05	0	0.69	0	0	0	0	0
"LL0000027105"	"si:dkey-211g8.4"	2	0	2	3	6	7	5.29	6	3	4	1	5.1
"LL0000027106"	"si:dkey-211g8.5"	0	0	2	0	0	0	0	0	0	0	0	0
"LL0000027107"	"si:dkey-211g8.6"	2	2	1	1	4	4	0	1	0	1	2	3
"LL0000027108"	"si:dkey-211g8.7"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027109"	"si:dkey-211g8.8"	0	1	6	0	0	2	1	0	2	5	0	0
"LL0000027110"	"si:dkey-211i20.2"	2.03	2.97	6.23	5.26	0.36	5.76	9.04	5.8	0	11.22	5.24	5.86
"LL0000027111"	"si:dkey-211i20.4"	0	0	0	0	1	0	0	0	0	0	0	0
"LL0000027112"	"si:dkey-211i20.5"	0	2.66	0	0	1.49	0	0	0	0	1.72	2.11	0
"LL0000027113"	"si:dkey-215k6.1"	64	79.98	78.99	7	14	9.01	52	90	49.92	8	1	2
"LL0000027114"	"si:dkey-216e24.3"	1	0	0	0	1	0	0	1	1	1	0	0
"LL0000027115"	"si:dkey-216e24.9"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027116"	"si:dkey-217d24.6"	520.35	486.25	612.13	602.88	789.54	987.65	423.94	658.84	478.15	1044.14	670.11	579.01
"LL0000027117"	"si:dkey-217f16.1"	7.43	4.9	13.26	12.15	30.06	25.97	9.79	12.05	7.66	20.95	7.95	5.5
"LL0000027118"	"si:dkey-217f16.5"	6.31	15.67	13.71	14.23	10.56	10.42	21.24	5.41	6.17	17.3	9.11	12.48
"LL0000027119"	"si:dkey-217f16.6"	48.8	65.92	121.45	52.49	42.75	30.29	50.37	147.16	24.65	46.4	23.68	19.17
"LL0000027120"	"si:dkey-217g21.3"	21.68	12.41	21.98	6	11.04	9.35	9.08	12.54	21.42	10.08	6.28	1.16
"LL0000027121"	"si:dkey-217l24.1"	202.46	259.74	252.42	66.2	121	95.17	205.22	239.07	203.99	141.69	73.09	51.25
"LL0000027122"	"si:dkey-217m5.8"	2	1.1	4.71	2	2	2	1	2	0	3	2	1.3
"LL0000027123"	"si:dkey-218h11.6"	1.06	5	3	0	3	1	0	1	2	2	2	0
"LL0000027124"	"si:dkey-219c10.4"	2	3	0	0	0	2	1	1	3	3	1	2
"LL0000027125"	"si:dkey-219c3.2"	486.02	334.86	443.63	134.89	216	272.33	384.36	598.26	481.01	230.95	152.65	114
"LL0000027126"	"si:dkey-219e20.2"	0	0	0	0	0	2	0	2	1	2.25	1	1
"LL0000027127"	"si:dkey-219e21.2"	1	4	2	3	9	18	2	2	2	12.87	1	8
"LL0000027128"	"si:dkey-219e21.4"	71.14	72	128.94	31.3	33.9	60	81.01	75	61.98	53	40.04	36.21
"LL0000027129"	"si:dkey-21a6.5"	152.82	176.68	233.99	74	115	170	182.49	212.02	167.99	167.86	141.01	107
"LL0000027130"	"si:dkey-21c1.1"	273.68	257.9	381.75	264.17	407.33	533.43	210	205.79	250	531.45	347.27	314.75
"LL0000027131"	"si:dkey-21c1.4"	79.85	88.66	107.62	75.94	94	125	57	89	85.98	123	92	83
"LL0000027132"	"si:dkey-21c1.8"	86	90	128.82	21.02	54	131	63.02	68	74	129.95	93	73
"LL0000027133"	"si:dkey-21c19.3"	1118.05	1312.23	1169.62	731.39	1092.59	1375.08	844.1	1449.54	1252.03	1187.45	783.5	721.9
"LL0000027134"	"si:dkey-21e13.3"	4	9.02	8.4	6	17.57	30	2.21	4.35	3.03	41.44	8.29	22
"LL0000027135"	"si:dkey-21e2.10"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027136"	"si:dkey-21e2.11"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027137"	"si:dkey-21e2.12"	0	0	0	0	0	0	0	2	0	0	0	0
"LL0000027138"	"si:dkey-21e2.13"	0	1	0	0	0	1.93	0	0	2.37	0	0	0
"LL0000027139"	"si:dkey-21e2.14"	0	0	0	0	1	0	0	0	0	0	0	0
"LL0000027140"	"si:dkey-21e2.15"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027141"	"si:dkey-21e2.16"	0	0	0	1	1	0	0	0	0	0	0	0
"LL0000027142"	"si:dkey-21e2.3"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027143"	"si:dkey-21e2.7"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027144"	"si:dkey-21e2.8"	1	1	4	0	0	2	1	4	1	7.94	1	0
"LL0000027145"	"si:dkey-21e5.1"	42	64.04	44.01	3	16	24	56.34	57.49	51.11	22	10	20.21
"LL0000027146"	"si:dkey-21h14.10"	13.21	3.31	3.42	0	3.37	1.52	0	0	13.68	7.77	5.92	0
"LL0000027147"	"si:dkey-21h14.12"	18.17	18.97	8.83	2.33	6.53	9.17	8.32	18.48	13.29	20.33	1.29	5.97
"LL0000027148"	"si:dkey-21h14.15"	0	0	0	0	0	0	0	0	2	0	0	0
"LL0000027149"	"si:dkey-21h14.3"	0	3.24	4.22	0	0	0	3.53	0	5.03	2.73	2.28	2
"LL0000027150"	"si:dkey-21h14.8"	0	0	15.58	0	1.84	0	0	11.68	18.67	1.2	0	0
"LL0000027151"	"si:dkey-21h14.9"	0	0	1.42	0	6.13	8.1	4.52	1.29	0	1.2	0	1.05
"LL0000027153"	"si:dkey-21o19.2"	12.97	13	16.56	7	10	25	5	2	4	15.01	11	16
"LL0000027154"	"si:dkey-21o22.2"	5.29	6.52	4.46	1	10.07	12.48	10.62	6.62	2.15	5.46	8.92	8.41
"LL0000027155"	"si:dkey-21p1.3"	20	29	17	0	12	17	16	19.04	32	11	18	13.12
"LL0000027156"	"si:dkey-220a11.5"	0	0	0	0	0	0	0	0	0	1.42	0	0
"LL0000027157"	"si:dkey-220f10.4"	14	11	23.66	2	10	17.05	5	16	9	15	5	12
"LL0000027158"	"si:dkey-220k22.1"	188.08	188.71	196.9	83	104	142	186.04	207.29	183	103.03	82	68
"LL0000027159"	"si:dkey-220k22.3"	2	3	3	2	8	1	2	4	9	6	1	1
"LL0000027160"	"si:dkey-220o21.3"	0	1	1	0	0	0.15	0	2	0	1	1	0
"LL0000027161"	"si:dkey-220o21.4"	0	0.62	0	0	0	0	0	0	0	0	0	0
"LL0000027162"	"si:dkey-220o5.5"	1	1	1	0	0	4	1	0	1	2	1	0
"LL0000027163"	"si:dkey-221h15.4"	10.54	19	21	5	15	22.13	13	23.98	21	8	14	12
"LL0000027164"	"si:dkey-221j11.3"	66	81.82	89.96	51	69.21	87.01	36.99	41	61.57	93.49	50.01	49.85
"LL0000027165"	"si:dkey-221l4.10"	51.44	38.16	34	45	38.62	55.18	16.38	36.37	31.56	43.96	30.86	35
"LL0000027166"	"si:dkey-221l4.11"	7.72	13.18	8.35	5.46	12.44	12.87	8.4	7	6.56	6.58	12.8	10.02
"LL0000027168"	"si:dkey-222b8.4"	23	14	21.02	50	91	129.99	9	26	27.1	120	70	81
"LL0000027169"	"si:dkey-222f2.1"	463.03	457.06	486.27	165	255.01	303.35	273.89	611	526.26	285.78	177.57	161.16
"LL0000027170"	"si:dkey-222f2.7"	6.93	5	8.31	4.99	7.47	6.41	3.19	10	5	8.77	3	1.01
"LL0000027171"	"si:dkey-222f8.3"	765	782.99	783.1	339.75	492.5	679.93	371.21	572.78	511.01	598.14	378.43	329.34
"LL0000027172"	"si:dkey-222h21.1"	0	0.64	6.97	0	0	0	0	0	2.46	1.19	0.01	0
"LL0000027173"	"si:dkey-222h21.10"	0	4.8	7.4	0	0	0	0	0	2.29	0	3.05	2.46
"LL0000027174"	"si:dkey-222h21.11"	1.74	2.6	0	0	0	0	2.77	1.12	0	0	0	1.02
"LL0000027175"	"si:dkey-222h21.12"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027176"	"si:dkey-222h21.2"	8.93	6.66	12.58	5.75	3.92	15.74	10.05	10.28	8.01	9.09	5.02	9.32
"LL0000027177"	"si:dkey-222h21.3"	1.98	3.21	1	1.21	0	0	0	0	0	0	0	0
"LL0000027178"	"si:dkey-222h21.4"	0	0	0	3.27	0	1	1	1	0	0	0	0
"LL0000027179"	"si:dkey-222h21.5"	1.76	6.27	1.2	1.06	0	4.95	2.91	0	1	2.44	1.36	1.73
"LL0000027180"	"si:dkey-222h21.6"	0	1.96	0	0	0	1.32	0	0	0	0	0	0
"LL0000027181"	"si:dkey-222h21.7"	0	0	0	0	0	0	1.17	0	0	0	0	0
"LL0000027182"	"si:dkey-222h21.8"	0	0	0	0	0	1	0	0	0	2	2	0
"LL0000027183"	"si:dkey-222h21.9"	0	1.19	2	0	0	0	0	0	0	0	0	0
"LL0000027184"	"si:dkey-222n6.2"	980.81	1201.29	1021.5	448.36	675.36	823.32	609.25	1196.01	1129.36	731.3	516.81	414.33
"LL0000027185"	"si:dkey-222p3.1"	31	10	25	6	9	32.44	13	15	22	36	31	23
"LL0000027186"	"si:dkey-223d7.6"	0	0	0	0	0	0	0	0	0	1	0	0
"LL0000027187"	"si:dkey-223p19.1"	0	1	3	2	1	0	1	1	0	1	0	0
"LL0000027188"	"si:dkey-223p19.2"	1	0	0	0	0	1	0	2	0	0	0	0
"LL0000027189"	"si:dkey-224b4.5"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027190"	"si:dkey-224e22.2"	0	24.17	24.38	3.21	1.85	25.74	7.14	9.1	0	31.17	3.75	26.83
"LL0000027191"	"si:dkey-225f23.4"	6	7	9	2	3.01	6	0	1	0	4	2	0
"LL0000027192"	"si:dkey-225f23.5"	3.89	9	6.01	2	11.99	15	4	13	2	8	1	1
"LL0000027193"	"si:dkey-225f5.4"	344.27	493.3	553.56	82.92	154.38	280.68	262.06	397.78	304	235.51	157.59	118.65
"LL0000027194"	"si:dkey-225f5.5"	4	8.13	7	6	14	6	5	4	12	7.66	8.86	6.91
"LL0000027195"	"si:dkey-225k4.1"	19	21	10	15	27.98	29	5	16	17	29.37	22	18.03
"LL0000027196"	"si:dkey-225n22.4"	88.04	110.9	95	23	51	111.55	79.99	76	77.29	125.01	54.12	36.07
"LL0000027197"	"si:dkey-226l10.6"	330.04	332.54	329.9	440.67	590.73	788.06	327.09	421.59	355.15	757	461.21	472.22
"LL0000027198"	"si:dkey-226m8.10"	3	3	3	0	2	5	1	2	1	3	1.99	4
"LL0000027199"	"si:dkey-226n24.1"	0	2.18	0	0	0	0.99	0	0	0.84	0	0	0
"LL0000027200"	"si:dkey-228a15.1"	75.74	82.22	78.49	48.26	85.6	137.53	44.29	82.76	74.35	124.09	86.62	49.58
"LL0000027201"	"si:dkey-228b2.6"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027202"	"si:dkey-228d14.5"	34	34	32.05	26	52.97	49	23	53	43	55	22.02	47.93
"LL0000027203"	"si:dkey-228l14.1"	0	0	1	0	1	0	0	0	1	0	1	0
"LL0000027204"	"si:dkey-229b18.3"	356.68	321.02	373.97	391	529.02	624.58	347.06	428.01	305.24	674.29	417.82	342.25
"LL0000027205"	"si:dkey-229d11.3"	9.02	13.8	15.18	18	12.4	7.38	2.39	11	7	9.79	12.12	10.39
"LL0000027206"	"si:dkey-229d11.5"	2	11.72	9	8	7	6	0	5	3	8.99	17.12	3
"LL0000027207"	"si:dkey-229e3.2"	69.2	42.36	43	29.94	57	72.91	33	58	64.99	60.57	42	32
"LL0000027208"	"si:dkey-22a18.2"	13.9	32.17	17.97	9.74	12.09	22.61	24.18	34.67	19.28	38.53	21.44	3.84
"LL0000027209"	"si:dkey-22f5.9"	0	0	0	0	0	0	0	0	1	0	1	0
"LL0000027210"	"si:dkey-22h13.1"	0	2.9	0	2.81	0.43	0	0	0	1.76	0	0.08	0.41
"LL0000027211"	"si:dkey-22h13.2"	38.55	39.4	24.15	21.77	14.5	27.94	20.44	42.94	44.66	52.74	41.08	41.86
"LL0000027212"	"si:dkey-22h13.3"	20.48	6.39	11.86	9.51	7.74	21.08	12.51	7.5	0	15.9	6.53	3.73
"LL0000027213"	"si:dkey-22h13.5"	0	4.33	7.84	0	0	6.37	4.5	0	0	0	10.45	5.97
"LL0000027214"	"si:dkey-22h13.6"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027215"	"si:dkey-22i16.10"	0	0	0	0	0	11.36	0	0	0	0	3.29	0
"LL0000027216"	"si:dkey-22i16.7"	0	1	0	0	0	0	0	0	0	0	0	0
"LL0000027217"	"si:dkey-22i16.9"	11	5	10	6	5	10	1	11	4	5.26	7	8
"LL0000027218"	"si:dkey-22l1.1"	2.44	4.65	0	0	2	0.54	0	8.37	3.15	0	0.11	2
"LL0000027219"	"si:dkey-22l11.6"	15.39	12.17	31.43	9.91	12.56	41.19	11.75	22.91	19.31	12.73	16.34	11.48
"LL0000027220"	"si:dkey-22n8.3"	21	13	11	3	14	12	9	7	12.77	16	11.98	12
"LL0000027221"	"si:dkey-22o12.2"	288.01	289.39	273.38	215.56	240.01	347.13	233.23	288.01	266.71	406.01	267.01	207.95
"LL0000027222"	"si:dkey-22o22.2"	298.51	387.77	403.97	16	33	31	370.79	306.04	297.98	52	9.02	14
"LL0000027223"	"si:dkey-22p6.2"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027224"	"si:dkey-230i18.2"	2.96	0	2	0	0	0	0	3.4	2.36	0	9.9	0
"LL0000027225"	"si:dkey-230p4.1"	392.98	663.93	508.7	154.01	188.69	172	397.57	456.73	368.93	247.98	168.84	183.06
"LL0000027226"	"si:dkey-231j24.3"	10	10	10	3	6	4	9	4	10	4	5	4
"LL0000027227"	"si:dkey-233e3.2"	0	0	0	0	0	11.67	6.95	0	0	0	0	0
"LL0000027228"	"si:dkey-233e3.3"	37.11	19.57	13.51	4.01	18.47	9.42	29.67	36.21	36.17	23.87	12.46	6.36
"LL0000027229"	"si:dkey-234d14.2"	0	1	0	0	1.14	3.6	0	0	0	0	2.51	1.26
"LL0000027230"	"si:dkey-234h16.7"	53	41	50	101.51	144.79	204.22	35.92	43.99	35	170.34	131	102
"LL0000027231"	"si:dkey-234i14.12"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027232"	"si:dkey-234i14.13"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027233"	"si:dkey-234i14.14"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027234"	"si:dkey-234i14.15"	1	0	0	0	0	0	0	0	0	0	0	0
"LL0000027235"	"si:dkey-234i14.2"	13.31	19	20	30	50	84	14	24.06	13	72.48	39	30
"LL0000027236"	"si:dkey-234i14.3"	86.06	70	52.19	42	84.2	76	75	83.02	77.55	92.64	67	52.01
"LL0000027237"	"si:dkey-234i14.6"	56.09	81	100.36	53	107.18	136.5	63.09	55	48.04	124.96	67	75.66
"LL0000027238"	"si:dkey-234i14.9"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027239"	"si:dkey-234l24.1"	0	1	0	2.84	5.68	3.99	1	1	1.24	5.11	2.86	6.22
"LL0000027240"	"si:dkey-235d18.5"	397.67	394.3	419.62	291.53	379.08	325.26	391.81	588.72	415.39	380.76	267.07	200.28
"LL0000027241"	"si:dkey-235d18.6"	0	1.3	3.35	5.01	9.99	8.47	0	8.06	3.97	10.77	6.04	6.47
"LL0000027242"	"si:dkey-236e20.3"	2.08	10.68	0	0	0	0	0	1	1.54	0	0	2.31
"LL0000027243"	"si:dkey-237g15.2"	24.94	19.85	10.24	12.17	4.53	21.1	3.08	8.71	5.14	21.97	9.4	16.41
"LL0000027244"	"si:dkey-237h12.3"	97.99	145.98	115.28	7	13	14.05	87	117.64	62	27.55	6.06	10.98
"LL0000027245"	"si:dkey-237i9.8"	17	21	24.96	1	3	11.66	7	34.28	16	6	5	8
"LL0000027246"	"si:dkey-237j10.2"	8	12	8.25	35	43.57	29.27	4	15.03	14	49.01	28.77	26.02
"LL0000027247"	"si:dkey-237j11.3"	1	2	0	0	1	2	0	2	1	0.83	0	2
"LL0000027248"	"si:dkey-237m9.1"	21.35	35	43.95	19.63	28.74	107	23.47	21.63	19.85	35.07	55.26	33.49
"LL0000027249"	"si:dkey-237m9.2"	47.52	65.7	25.52	40.01	59.07	85.48	20.83	38.34	52.22	85.29	45.24	40.46
"LL0000027250"	"si:dkey-238c7.16"	791.66	844.97	748.78	307.65	426.22	477.62	569.12	867.08	625.06	575.41	316.84	304.05
"LL0000027251"	"si:dkey-238d18.10"	0	2	0	2	0	0	0	0	1	1	0	0
"LL0000027252"	"si:dkey-238d18.12"	0	2	0	0	0	0	0	0	0	1	0	0
"LL0000027253"	"si:dkey-238d18.13"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027254"	"si:dkey-238d18.15"	2	1	0	0	0	0	0	0	0	0	0	0
"LL0000027255"	"si:dkey-238d18.3"	2	1	0	0	0	0	0	0	0.78	1	0	0
"LL0000027256"	"si:dkey-238d18.4"	146.01	170.81	198.9	51.36	39.51	83.1	133.26	171.97	172.29	66.88	75.87	55.68
"LL0000027257"	"si:dkey-238d18.5"	0	2	2	0	0	1	0	1.03	0	0.22	1	0
"LL0000027258"	"si:dkey-238d18.6"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027259"	"si:dkey-238d18.7"	0	0	2	0	0	0	0	0	0	0	0	0
"LL0000027260"	"si:dkey-238d18.8"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027261"	"si:dkey-238d18.9"	0	0	0	0	0	0	0	0	0	1	0	0
"LL0000027262"	"si:dkey-238f9.1"	15.98	16	11	0	1	0	17.38	6	8	1	2	0
"LL0000027263"	"si:dkey-238i5.2"	74.4	118.99	113.52	37	27.37	52.99	53	92.88	78	55.17	41	24
"LL0000027264"	"si:dkey-238i5.3"	56.46	31.85	32.24	10.65	18.95	43.9	13.56	13.18	9.31	20.43	10.16	5
"LL0000027265"	"si:dkey-238j22.1"	0	0	0	0	0	0	0	0	0	1	0	1
"LL0000027266"	"si:dkey-238k10.1"	56.88	41.03	69.32	4.44	9.26	13.57	31.14	38.13	43.57	9.59	18.72	9.12
"LL0000027267"	"si:dkey-238k10.2"	102.05	100.9	117.19	41.58	75.34	122.78	66.26	120.15	72.63	96.18	55.53	54.59
"LL0000027268"	"si:dkey-238k10.3"	52.6	50.08	35.99	10.6	32.53	33.29	31.73	33.42	14.45	21.43	12.24	20.05
"LL0000027269"	"si:dkey-238m4.3"	28.16	52.45	36.69	12.85	11.41	23.3	22.9	55.63	20.64	4.25	17.83	23.71
"LL0000027270"	"si:dkey-238m4.4"	0	1	1	0	0	0	1	1	1	1	2	0
"LL0000027271"	"si:dkey-238n5.3"	0	0	0	0	0	0	0	0	0	0	0	0
"LL0000027272"	"si:dkey-238o13.4"	270.1	359.23	307.85	225	275	402.01	200.09	346	359.23	317.55	257.38	246.98
"LL0000027273"	"si:dkey-238o14.1"	0	0	0	0	0	0	0	0	3.62	0	1.2	3.5
"LL0000027274"	"si:dkey-238o14.3"	5.89	0	0	0	2.19	0	0	1.11	3.1	3.31	0	0
"LL0000027275"	"si:dkey-238o14.7"	2.82	5.85	4	2.39	5.38	3.78	0	9.78	0	13.77	1.74	3.77
"LL0000027276"	"si:dkey-239b22.1"	19.52	21.09	27.95	39.14	29.93	16.67	37.4	25.32	27.36	10.98	13.55	22.53
"LL0000027277"	"si:dkey-239b22.2"	195.47	184.1	211.91	138.99	177	205.95	158.83	177.06	185.94	171.97	110.31	112
